participant,condition,task,timestamp,interval_s
Participant_1,Moving,Controls,637.75,59.440000000000055
Participant_1,Moving,Controls,696.71,58.960000000000036
Participant_1,Moving,Controls,754.13,57.41999999999996
Participant_1,Moving,Controls,781.92,27.789999999999964
Participant_1,Moving,Controls,826.29,44.370000000000005
Participant_1,Moving,Controls,834.3,8.009999999999991
Participant_1,Moving,Controls,846.89,12.590000000000032
Participant_1,Moving,Controls,905.54,58.64999999999998
Participant_1,Moving,Controls,951.18,45.639999999999986
Participant_1,Moving,Controls,1009.48,58.30000000000007
Participant_1,Moving,Controls,1096.77,87.28999999999996
Participant_1,Moving,Key,659.6,39.60000000000002
Participant_1,Moving,Key,702.61,43.00999999999999
Participant_1,Moving,Key,752.0,49.389999999999986
Participant_1,Moving,Key,808.81,56.809999999999945
Participant_1,Moving,Key,883.8,74.99000000000001
Participant_1,Moving,Key,927.01,43.210000000000036
Participant_1,Moving,Key,991.61,64.60000000000002
Participant_1,Moving,Key,1050.01,58.39999999999998
Participant_1,Moving,Key,1104.2,54.190000000000055
Participant_1,Moving,Visual,671.84,69.18000000000006
Participant_1,Moving,Visual,721.85,50.00999999999999
Participant_1,Moving,Visual,759.92,38.069999999999936
Participant_1,Moving,Visual,811.35,51.430000000000064
Participant_1,Moving,Visual,861.29,49.93999999999994
Participant_1,Moving,Visual,922.57,61.280000000000086
Participant_1,Moving,Visual,976.61,54.039999999999964
Participant_1,Moving,Visual,1047.83,71.21999999999991
Participant_1,Moving,Visual,1073.56,25.730000000000018
Participant_1,SemiStationary,Controls,209.53,58.03999999999999
Participant_1,SemiStationary,Controls,240.25,30.72
Participant_1,SemiStationary,Controls,282.48,42.23000000000002
Participant_1,SemiStationary,Controls,312.08,29.599999999999966
Participant_1,SemiStationary,Controls,328.26,16.180000000000007
Participant_1,SemiStationary,Controls,398.1,69.84000000000003
Participant_1,SemiStationary,Controls,449.86,51.75999999999999
Participant_1,SemiStationary,Controls,475.7,25.839999999999975
Participant_1,SemiStationary,Controls,525.17,49.46999999999997
Participant_1,SemiStationary,Controls,548.6,23.430000000000064
Participant_1,SemiStationary,Controls,611.62,63.01999999999998
Participant_1,SemiStationary,Key,223.81,95.00999999999999
Participant_1,SemiStationary,Key,257.81,34.0
Participant_1,SemiStationary,Key,310.61,52.80000000000001
Participant_1,SemiStationary,Key,374.81,64.19999999999999
Participant_1,SemiStationary,Key,395.61,20.80000000000001
Participant_1,SemiStationary,Key,472.81,77.19999999999999
Participant_1,SemiStationary,Key,531.21,58.400000000000034
Participant_1,SemiStationary,Key,557.8,26.589999999999918
Participant_1,SemiStationary,Key,602.81,45.00999999999999
Participant_1,SemiStationary,Visual,179.51,60.94999999999999
Participant_1,SemiStationary,Visual,258.57,79.06
Participant_1,SemiStationary,Visual,292.41,33.84000000000003
Participant_1,SemiStationary,Visual,332.84,40.42999999999995
Participant_1,SemiStationary,Visual,353.02,20.180000000000007
Participant_1,SemiStationary,Visual,422.65,69.63
Participant_1,SemiStationary,Visual,441.75,19.100000000000023
Participant_1,SemiStationary,Visual,503.7,61.94999999999999
Participant_1,SemiStationary,Visual,582.05,78.34999999999997
Participant_1,SemiStationary,Visual,634.81,52.75999999999999
Participant_1,Stationary,Controls,115.54,19.070000000000007
Participant_1,Stationary,Controls,168.82,53.27999999999999
Participant_1,Stationary,Controls,184.09,15.27000000000001
Participant_1,Stationary,Controls,187.65,3.5600000000000023
