participant,condition,task,mean_interval_s,median_interval_s,std_interval_s,count
Participant_1,Moving,Controls,47.13272727272727,57.41999999999996,23.183902212918813,11
Participant_1,Moving,Key,53.800000000000004,54.190000000000055,11.432894427921562,9
Participant_1,Moving,Visual,52.32222222222222,51.430000000000064,14.346570825268477,9
Participant_1,SemiStationary,Controls,41.83,42.23000000000002,17.828747572389933,11
Participant_1,SemiStationary,Key,52.66777777777777,52.80000000000001,24.14356786898831,9
Participant_1,SemiStationary,Visual,51.625,56.85499999999999,22.29656737407501,10
Participant_1,Stationary,Controls,29.044166666666666,22.51999999999999,23.3395900323632,12
Participant_1,Stationary,Key,43.199999999999996,44.39,18.090760072478986,9
Participant_1,Stationary,Visual,39.714,40.08499999999998,16.15876177874475,10
Participant_10,Moving,Controls,54.91166666666667,54.27499999999998,24.79465217877966,6
Participant_10,Moving,Key,52.29999999999999,46.799999999999955,23.68890035438531,6
Participant_10,Moving,Visual,49.35833333333333,48.454999999999984,16.108099101590664,6
Participant_10,SemiStationary,Controls,41.028571428571425,34.15999999999997,26.463401411869086,7
Participant_10,SemiStationary,Key,54.23333333333333,59.19999999999999,18.58722966626998,6
Participant_10,SemiStationary,Visual,48.43666666666667,42.29000000000002,13.80156174737724,6
Participant_10,Stationary,Controls,45.39666666666667,39.14499999999998,16.454231877139296,6
Participant_10,Stationary,Key,41.199999999999996,37.0,21.59935276808081,6
Participant_10,Stationary,Visual,39.458333333333336,41.1,7.150687845701757,6
Participant_11,Moving,Controls,72.41999999999999,67.42500000000007,26.949766603813107,6
Participant_11,Moving,Key,65.86833333333334,61.30500000000001,44.99221284474308,6
Participant_11,Moving,Visual,73.30666666666666,88.275,35.82086356673531,6
Participant_11,SemiStationary,Controls,57.43166666666667,56.29000000000002,15.761502995167266,6
Participant_11,SemiStationary,Key,55.70000000000001,57.295000000000016,8.928654993894666,6
Participant_11,SemiStationary,Visual,51.264999999999986,52.55499999999995,12.882435716897652,6
Participant_11,Stationary,Controls,62.533333333333324,66.11500000000001,36.12521095670818,6
Participant_11,Stationary,Key,77.965,71.30000000000001,17.72871653560967,6
Participant_11,Stationary,Visual,72.08333333333333,78.495,14.40251876119821,6
Participant_12,Moving,Controls,57.51666666666667,58.29000000000002,18.14685610971406,6
Participant_12,Moving,Key,58.29999999999999,58.89999999999998,27.846582555135903,6
Participant_12,Moving,Visual,58.90833333333334,52.60000000000002,38.83029457352421,6
Participant_12,SemiStationary,Controls,47.656666666666666,50.15999999999997,12.138564440108494,6
Participant_12,SemiStationary,Key,50.6,46.5,11.99009758092069,6
Participant_12,SemiStationary,Visual,41.33500000000001,46.83000000000001,18.21985482927898,6
Participant_12,Stationary,Controls,49.214999999999996,42.5,23.57807859008019,6
Participant_12,Stationary,Key,39.166666666666664,39.495000000000005,10.545043701505799,6
Participant_12,Stationary,Visual,42.89166666666667,47.670000000000016,17.823711641144428,6
Participant_13,Moving,Controls,84.455,81.11500000000004,43.925449001689195,6
Participant_13,Moving,Key,94.16666666666667,76.89500000000001,64.63110355445487,6
Participant_13,Moving,Visual,80.69,78.30000000000001,26.190727366760946,6
Participant_13,SemiStationary,Controls,81.01166666666666,83.13999999999999,13.510781497258717,6
Participant_13,SemiStationary,Key,80.93333333333335,85.79999999999995,16.797460125467342,6
Participant_13,SemiStationary,Visual,87.51666666666665,92.29000000000008,19.98244896569658,6
Participant_13,Stationary,Controls,42.725,46.08999999999999,22.112398106039954,6
Participant_13,Stationary,Key,45.133333333333326,45.2,17.89018352803197,6
Participant_13,Stationary,Visual,48.01166666666666,55.379999999999995,18.31144387170673,6
Participant_14,Moving,Controls,52.470000000000006,50.63500000000005,15.331379585673256,6
Participant_14,Moving,Key,52.63333333333333,52.004999999999995,20.418451132901005,6
Participant_14,Moving,Visual,51.021666666666675,59.569999999999965,18.213226421111262,6
Participant_14,SemiStationary,Controls,56.54999999999999,59.39499999999998,33.12794530302175,6
Participant_14,SemiStationary,Key,56.66833333333333,55.60999999999996,27.16873307069485,6
Participant_14,SemiStationary,Visual,54.67499999999999,46.815,26.095653086290103,6
Participant_14,Stationary,Controls,33.946666666666665,39.999999999999986,13.522919310070092,6
Participant_14,Stationary,Key,30.231666666666666,32.995000000000005,11.126459305037999,6
Participant_14,Stationary,Visual,28.448333333333334,31.439999999999998,13.503268369793537,6
Participant_15,Moving,Controls,178.82333333333335,162.2850000000002,55.66242454894203,6
Participant_15,Moving,Key,174.56666666666672,161.30500000000018,53.37932471160217,6
Participant_15,Moving,Visual,172.5633333333333,168.92999999999984,46.77226514363689,6
Participant_15,SemiStationary,Controls,79.22166666666666,83.72000000000003,13.7989541874255,6
Participant_15,SemiStationary,Key,74.86666666666666,74.89999999999998,8.476998682709988,6
Participant_15,SemiStationary,Visual,73.31500000000001,73.71000000000001,10.979975865182956,6
