condition,task,metric,predictor,rho,p_value,n
Moving,Controls,mean_interval_s,age,0.4035281446379944,0.08666425071468996,19
Moving,Controls,mean_interval_s,xr_experience,-0.39792046424425215,0.09155555685667557,19
Moving,Controls,mean_interval_s,videogame_experience,-0.2693431380547323,0.26480724277650664,19
Moving,Key,mean_interval_s,age,0.4916347264366832,0.032526484397086906,19
Moving,Key,mean_interval_s,xr_experience,-0.31279830307860024,0.19226626017974957,19
Moving,Key,mean_interval_s,videogame_experience,-0.3396065653733581,0.15487981867890055,19
Moving,Visual,mean_interval_s,age,0.46520275189707655,0.044744736349200565,19
Moving,Visual,mean_interval_s,xr_experience,-0.3476676221103131,0.14469663908564132,19
Moving,Visual,mean_interval_s,videogame_experience,-0.29366509366502586,0.22235673769397934,19
SemiStationary,Controls,mean_interval_s,age,0.3480209981048205,0.14426117613495068,19
SemiStationary,Controls,mean_interval_s,xr_experience,-0.28408239328777796,0.23851715559974104,19
SemiStationary,Controls,mean_interval_s,videogame_experience,-0.01711545024428065,0.9445563458054664,19
SemiStationary,Key,mean_interval_s,age,0.37621510428040095,0.11239415752267351,19
SemiStationary,Key,mean_interval_s,xr_experience,-0.2994659163900042,0.2129289547880242,19
SemiStationary,Key,mean_interval_s,videogame_experience,-0.26213663268871934,0.27829575533677753,19
SemiStationary,Visual,mean_interval_s,age,0.493396858072657,0.031815460202808066,19
SemiStationary,Visual,mean_interval_s,xr_experience,-0.3302329625944567,0.16732996191322286,19
SemiStationary,Visual,mean_interval_s,videogame_experience,-0.10089107512418066,0.6810948370823787,19
Stationary,Controls,mean_interval_s,age,0.4687270151690241,0.042938902819555105,19
Stationary,Controls,mean_interval_s,xr_experience,-0.4276619422418896,0.06777862358765761,19
Stationary,Controls,mean_interval_s,videogame_experience,-0.22430247951715165,0.3559156462110694,19
Stationary,Key,mean_interval_s,age,0.7101390492974313,0.0006577408239285945,19
Stationary,Key,mean_interval_s,xr_experience,-0.26049432453103105,0.2814280062939284,19
Stationary,Key,mean_interval_s,videogame_experience,-0.13061790975898388,0.5940403214738963,19
Stationary,Visual,mean_interval_s,age,0.5911951638692015,0.00768071155196119,19
Stationary,Visual,mean_interval_s,xr_experience,-0.22049716446524284,0.3643478871574021,19
Stationary,Visual,mean_interval_s,videogame_experience,-0.23331061122466776,0.3364054756747191,19
