participant,condition,task,event_type,coordinate_system,correct,timestamp,duration
Participant_1,Stationary,Visual,TaskCompletion,World,True,79.09,6.31
Participant_1,Stationary,Key,TaskCompletion,World,True,81.41,8.64
Participant_1,Stationary,Controls,TaskCompletion,World,True,96.47,0.24
Participant_1,Stationary,Controls,TaskCompletion,World,True,115.54,4.67
Participant_1,Stationary,Key,TaskCompletion,World,True,125.8,53.03
Participant_1,Stationary,Visual,TaskCompletion,World,True,143.93,11.72
Participant_1,Stationary,Visual,TaskCompletion,World,True,166.73,6.6
Participant_1,Stationary,Controls,TaskCompletion,World,True,168.82,7.28
Participant_1,Stationary,Key,TaskCompletion,World,True,179.21,19.08
Participant_1,Stationary,Controls,TaskCompletion,World,True,184.09,2.49
Participant_1,Stationary,Controls,TaskCompletion,World,True,187.65,3.08
Participant_1,Stationary,Controls,TaskCompletion,World,True,200.77,2.57
Participant_1,Stationary,Visual,TaskCompletion,World,True,203.31,0.67
Participant_1,Stationary,Key,TaskCompletion,World,True,208.2,5.56
Participant_1,Stationary,Visual,TaskCompletion,World,True,231.62,12.94
Participant_1,Stationary,Controls,TaskCompletion,World,True,233.12,9.33
Participant_1,Stationary,Key,TaskCompletion,World,True,242.41,23.74
Participant_1,Stationary,Controls,TaskCompletion,World,True,259.09,2.56
Participant_1,Stationary,Controls,Position,World,,262.66,0.79
Participant_1,Stationary,Visual,TaskCompletion,World,True,274.93,24.19
Participant_1,Stationary,Visual,TaskCompletion,World,False,286.22,8.18
Participant_1,Stationary,Key,TaskCompletion,World,True,301.6,23.57
Participant_1,Stationary,Visual,TaskCompletion,World,True,326.62,12.62
Participant_1,Stationary,Key,TaskCompletion,World,True,328.01,14.02
Participant_1,Stationary,Controls,TaskCompletion,World,True,343.71,3.24
Participant_1,Stationary,Key,TaskCompletion,World,False,343.81,29.82
Participant_1,Stationary,Controls,TaskCompletion,World,True,349.55,5.62
Participant_1,Stationary,Visual,TaskCompletion,World,True,366.39,7.5
Participant_1,Stationary,Controls,TaskCompletion,World,True,386.58,4.31
