participant,condition,task,anchor,num_completions,mean_duration_s,median_duration_s,std_duration_s,accuracy
Participant_1,Moving,Controls,Torso,12,6.138333333333333,5.68,2.701574737186825,1.0
Participant_1,Moving,Key,Head,10,22.601999999999997,22.2,14.067988721443681,0.8
Participant_1,Moving,Visual,Head,10,12.3,13.114999999999998,6.377711188192831,0.9
Participant_1,SemiStationary,Controls,Arm,12,8.953333333333333,7.91,4.58004829933511,1.0
Participant_1,SemiStationary,Key,World,10,38.698,37.864999999999995,17.182976588602,1.0
Participant_1,SemiStationary,Visual,Head,11,10.872727272727273,9.03,4.808159920196272,0.9090909090909091
Participant_1,Stationary,Controls,World,13,4.0600000000000005,3.24,2.3317125323103904,1.0
Participant_1,Stationary,Key,World,10,23.052,21.325,14.635859159384303,0.9
Participant_1,Stationary,Visual,World,11,10.47090909090909,8.18,6.7169478999698295,0.9090909090909091
Participant_10,Moving,Controls,Head,7,9.651428571428571,5.97,11.394243325134887,1.0
Participant_10,Moving,Key,Head,7,30.177142857142858,30.58,18.163367634046388,0.8571428571428571
Participant_10,Moving,Visual,Arm,7,7.997142857142857,9.5,2.7860528487791605,0.5714285714285714
Participant_10,SemiStationary,Controls,Head,8,4.62125,4.445,1.9153249444564604,1.0
Participant_10,SemiStationary,Key,Head,7,44.37714285714286,44.08,21.013228939793866,0.8571428571428571
Participant_10,SemiStationary,Visual,Torso,7,11.172857142857142,13.26,4.899012534126015,0.8571428571428571
Participant_10,Stationary,Controls,World,7,6.715714285714285,4.52,3.954031095573466,1.0
Participant_10,Stationary,Key,World,7,17.685714285714287,18.25,15.539256585760311,0.7142857142857143
Participant_10,Stationary,Visual,World,7,9.95142857142857,9.4,4.235522118824033,0.8571428571428571
Participant_11,Moving,Controls,Arm,7,5.901428571428572,5.92,1.9579702804301244,1.0
Participant_11,Moving,Key,Head,7,56.83,53.16,19.855871507776566,0.8571428571428571
Participant_11,Moving,Visual,Head,7,9.144285714285715,7.51,3.703596707449202,0.8571428571428571
Participant_11,SemiStationary,Controls,Arm,7,5.138571428571429,5.29,1.4187251151583073,1.0
Participant_11,SemiStationary,Key,Head,7,38.88428571428572,37.09,12.737673593377583,0.8571428571428571
Participant_11,SemiStationary,Visual,Head,7,8.044285714285715,9.04,2.6701114654814027,0.8571428571428571
Participant_11,Stationary,Controls,World,7,9.222857142857142,6.53,7.548926445276208,1.0
Participant_11,Stationary,Key,World,7,45.15428571428571,47.2,19.08638158228955,1.0
Participant_11,Stationary,Visual,World,7,17.99142857142857,14.84,10.588554242784088,1.0
Participant_12,Moving,Controls,Arm,7,13.985714285714284,4.74,16.945093544684113,1.0
Participant_12,Moving,Key,Torso,7,38.36857142857143,35.37,18.33940332414646,1.0
Participant_12,Moving,Visual,Arm,7,10.758571428571429,9.1,5.393546849620166,1.0
Participant_12,SemiStationary,Controls,Torso,7,4.4,4.06,1.6282915381875975,1.0
Participant_12,SemiStationary,Key,World,7,37.05428571428571,35.7,11.573074868191336,1.0
Participant_12,SemiStationary,Visual,Torso,7,8.348571428571429,6.0,3.935489925330893,1.0
Participant_12,Stationary,Controls,World,7,5.808571428571428,5.71,1.8205990641492025,1.0
Participant_12,Stationary,Key,World,7,24.965714285714284,17.69,14.444010127780604,1.0
Participant_12,Stationary,Visual,World,7,7.4628571428571435,6.25,3.5682475357226107,1.0
Participant_13,Moving,Controls,Torso,7,7.707142857142857,6.27,7.855360620378321,1.0
Participant_13,Moving,Key,Torso,7,83.55142857142857,64.2,60.70724625297254,1.0
Participant_13,Moving,Visual,Torso,7,12.645714285714288,13.33,6.995662601790857,1.0
Participant_13,SemiStationary,Controls,Head,7,5.624285714285714,6.25,2.251198622533169,1.0
Participant_13,SemiStationary,Key,Torso,7,64.99285714285715,68.59,21.107508706844676,1.0
Participant_13,SemiStationary,Visual,Head,7,9.012857142857142,7.68,4.222383664415611,0.5714285714285714
Participant_13,Stationary,Controls,World,7,3.9957142857142856,3.26,2.1746406380737726,1.0
Participant_13,Stationary,Key,World,7,23.697142857142858,24.51,21.53167257343293,0.8571428571428571
Participant_13,Stationary,Visual,World,7,12.935714285714285,12.53,5.6385011517330765,1.0
Participant_14,Moving,Controls,Arm,7,3.9771428571428578,3.22,2.132031224644035,1.0
Participant_14,Moving,Key,Arm,7,30.378571428571426,25.4,14.705815662033654,0.8571428571428571
Participant_14,Moving,Visual,Torso,7,9.894285714285713,9.01,5.927427370967546,0.8571428571428571
Participant_14,SemiStationary,Controls,Arm,7,4.098571428571428,3.43,2.3505207123204888,1.0
Participant_14,SemiStationary,Key,Arm,5,31.544,24.03,25.34630604249858,1.0
Participant_14,SemiStationary,Key,Head,2,25.130000000000003,25.130000000000003,1.046518036156092,1.0
Participant_14,SemiStationary,Visual,Torso,7,6.322857142857143,5.57,1.9012602336846147,0.8571428571428571
Participant_14,Stationary,Controls,World,7,2.422857142857143,2.18,0.5411011700139596,1.0
Participant_14,Stationary,Key,World,7,18.208571428571428,19.94,10.052179578863196,1.0
Participant_14,Stationary,Visual,World,7,7.54,9.11,3.755733394868882,1.0
Participant_15,Moving,Controls,Arm,4,6.645,6.3100000000000005,1.7804400205192716,1.0
Participant_15,Moving,Controls,Head,3,6.1066666666666665,4.57,2.783708557542139,1.0
Participant_15,Moving,Key,Head,7,151.93142857142857,122.04,49.148048936714815,1.0
Participant_15,Moving,Visual,Head,7,10.271428571428572,10.61,4.12497041836435,0.8571428571428571
Participant_15,SemiStationary,Controls,World,7,7.658571428571428,6.47,2.5971678714285975,1.0
Participant_15,SemiStationary,Key,World,7,59.63428571428572,66.68,13.168248247385147,0.8571428571428571
Participant_15,SemiStationary,Visual,Head,7,12.150000000000002,10.06,5.8712008993050135,1.0
Participant_15,Stationary,Controls,World,7,5.625714285714286,5.25,0.9149108725782557,1.0
Participant_15,Stationary,Key,World,7,37.94285714285714,34.18,16.381546237851207,1.0
Participant_15,Stationary,Visual,World,7,10.48857142857143,10.61,3.893393672069944,1.0
Participant_16,Moving,Controls,Head,7,3.948571428571429,2.65,2.6389671500508713,1.0
Participant_16,Moving,Key,Torso,7,48.379999999999995,56.08,14.12881216993606,1.0
Participant_16,Moving,Visual,Head,7,11.215714285714286,13.14,4.720942198131136,1.0
Participant_16,SemiStationary,Controls,Head,7,3.9714285714285715,3.18,1.4531165194324989,1.0
Participant_16,SemiStationary,Key,Head,2,71.59,71.59,17.324116139070416,1.0
Participant_16,SemiStationary,Key,Torso,5,41.122,30.93,18.973923421369655,1.0
