condition,term,avg_tfidf
Moving,nan,0.21153662891490937
Moving,arm,0.1747204802845695
Moving,head,0.15121995174183944
Moving,task,0.11961352913518229
Moving,body,0.1192611265792576
Moving,appear,0.11497139733006571
Moving,key,0.10833412284969965
Moving,hand,0.10692124529247014
Moving,fov,0.1068688686854791
Moving,left,0.1008701275584637
Moving,controls,0.09969823284406605
Moving,look,0.09146698926440502
Moving,ui,0.08395547929798003
Moving,easier,0.083753803115681
Moving,follow,0.08207266986143928
Semi-Stationary,nan,0.21341280024601783
Semi-Stationary,arm,0.14072441034742642
Semi-Stationary,head,0.13668970363132316
Semi-Stationary,task,0.1238085761853385
Semi-Stationary,visual,0.11710341724715059
Semi-Stationary,body,0.11573795527582895
Semi-Stationary,easier,0.11327952463734295
Semi-Stationary,boxes,0.10608002948105083
Semi-Stationary,key,0.10490515350905451
Semi-Stationary,controls,0.10335405207960488
Semi-Stationary,left,0.10243882395650274
Semi-Stationary,hand,0.10197813234615827
Semi-Stationary,appear,0.09261507305727476
Semi-Stationary,follow,0.0850901873664832
Semi-Stationary,use,0.08417322489835365
Stationary,nan,0.2950487469342721
Stationary,visual,0.13639251505752611
Stationary,world,0.1250964114979031
Stationary,controls,0.12278381642083003
Stationary,key,0.11220541621444582
Stationary,uis,0.1010751822907578
Stationary,right,0.09836399491509529
Stationary,left,0.09318904556272217
Stationary,stationary,0.09172166419783583
Stationary,appear,0.0886061297226475
Stationary,need,0.07408731918205269
Stationary,fov,0.07295020296340972
Stationary,head,0.06755747092925457
Stationary,ui,0.06524295515945992
Stationary,stay,0.06495950866506277
