task,anchor,cond_a,cond_b,u_stat,p_raw,cliffs_delta,p_holm
Controls,Arm,Moving,Semi-Stationary,185.5,0.8867292728933367,0.027700831024930747,0.8867292728933367
Controls,Arm,Moving,Stationary,306.5,0.00019681217873598983,0.6980609418282548,0.0005904365362079695
Controls,Arm,Semi-Stationary,Stationary,280.5,0.0029671163699654234,0.554016620498615,0.005934232739930847
Controls,Head,Moving,Semi-Stationary,194.0,0.6985167306237257,0.07479224376731301,0.6985167306237257
Controls,Head,Moving,Stationary,235.0,0.10890426346725784,0.30193905817174516,0.32671279040177353
Controls,Head,Semi-Stationary,Stationary,224.5,0.1931491815208498,0.24376731301939059,0.3862983630416996
Controls,Torso,Moving,Semi-Stationary,179.0,0.9758371420834536,-0.008310249307479225,0.9758371420834536
Controls,Torso,Moving,Stationary,261.5,0.016245127243051168,0.4487534626038781,0.032490254486102335
Controls,Torso,Semi-Stationary,Stationary,270.0,0.007213763208860383,0.49584487534626037,0.02164128962658115
Controls,World,Moving,Semi-Stationary,145.0,0.2843752061313297,-0.19667590027700832,0.2843752061313297
Controls,World,Moving,Stationary,1.0,3.1083797254453674e-08,-0.9944598337950139,9.325139176336103e-08
Controls,World,Semi-Stationary,Stationary,11.5,1.756972838121818e-07,-0.9362880886426593,3.513945676243636e-07
Key,Arm,Moving,Semi-Stationary,188.5,0.8237428276533809,0.0443213296398892,0.8237428276533809
Key,Arm,Moving,Stationary,250.0,0.04058364837221422,0.3850415512465374,0.12175094511664265
Key,Arm,Semi-Stationary,Stationary,243.5,0.06342239863826438,0.3490304709141274,0.12684479727652875
Key,Head,Moving,Semi-Stationary,219.5,0.24910041854313203,0.21606648199445982,0.24910041854313203
Key,Head,Moving,Stationary,270.5,0.007202679485342881,0.4986149584487535,0.021608038456028645
Key,Head,Semi-Stationary,Stationary,235.5,0.1034940555893537,0.3047091412742382,0.2069881111787074
Key,Torso,Moving,Semi-Stationary,222.0,0.21454593004600708,0.2299168975069252,0.21454593004600708
Key,Torso,Moving,Stationary,307.5,0.00016892338146035435,0.703601108033241,0.000506770144381063
Key,Torso,Semi-Stationary,Stationary,269.5,0.00850371370986541,0.4930747922437673,0.01700742741973082
Key,World,Moving,Semi-Stationary,74.0,0.0014375745860726458,-0.590027700831025,0.0014375745860726458
Key,World,Moving,Stationary,9.5,5.183922370165629e-08,-0.9473684210526315,1.5551767110496888e-07
Key,World,Semi-Stationary,Stationary,76.0,0.0001482354572047904,-0.5789473684210527,0.0002964709144095808
Visual,Arm,Moving,Semi-Stationary,198.0,0.6134140043818862,0.09695290858725762,0.6134140043818862
Visual,Arm,Moving,Stationary,260.0,0.018868320639541258,0.4404432132963989,0.05660496191862377
Visual,Arm,Semi-Stationary,Stationary,245.5,0.054820202921177716,0.3601108033240997,0.10964040584235543
Visual,Head,Moving,Semi-Stationary,159.5,0.5393511068420664,-0.11634349030470914,0.5393511068420664
Visual,Head,Moving,Stationary,228.5,0.15086132690524567,0.2659279778393352,0.30172265381049135
Visual,Head,Semi-Stationary,Stationary,252.0,0.034007948398786986,0.3961218836565097,0.10202384519636096
Visual,Torso,Moving,Semi-Stationary,186.0,0.874840422114932,0.030470914127423823,0.874840422114932
Visual,Torso,Moving,Stationary,300.0,0.00037153034404190257,0.6620498614958449,0.0011145910321257078
Visual,Torso,Semi-Stationary,Stationary,279.5,0.0031388658287784667,0.5484764542936288,0.006277731657556933
Visual,World,Moving,Semi-Stationary,130.0,0.1321314625944361,-0.27977839335180055,0.1321314625944361
Visual,World,Moving,Stationary,0.0,1.4945796606061432e-08,-1.0,4.48373898181843e-08
Visual,World,Semi-Stationary,Stationary,9.5,5.991684959782435e-08,-0.9473684210526315,1.198336991956487e-07
