condition,task,anchor_a,anchor_b,w_stat,p_raw,rank_biserial,n,p_holm
Moving,Controls,World,Head,10.5,0.0016883941740387883,-0.8627450980392157,19,0.006753576696155153
Moving,Controls,World,Torso,4.0,0.0002241147948288946,-0.9578947368421052,19,0.0013446887689733675
Moving,Controls,World,Arm,8.0,0.00043095567673583535,-0.9157894736842105,19,0.0021547783836791765
Moving,Controls,Head,Torso,33.0,0.2103741114447517,-0.37142857142857144,19,0.6311223343342551
Moving,Controls,Head,Arm,59.5,0.25341293522283104,-0.30409356725146197,19,0.6311223343342551
Moving,Controls,Torso,Arm,61.5,0.47170222992357624,-0.19607843137254902,19,0.6311223343342551
Moving,Key,World,Head,17.0,0.002690596716729667,-0.8011695906432749,19,0.013452983583648334
Moving,Key,World,Torso,7.0,0.00037432630713100793,-0.9263157894736842,19,0.0022459578427860474
Moving,Key,World,Arm,41.0,0.02872116281880881,-0.5684210526315789,19,0.05744232563761762
Moving,Key,Head,Torso,43.5,0.19599011998175875,-0.3602941176470588,19,0.19599011998175875
Moving,Key,Head,Arm,31.0,0.01666507232270185,0.6374269005847953,19,0.04999521696810555
Moving,Key,Torso,Arm,21.5,0.002921034198453108,0.7736842105263158,19,0.013452983583648334
Moving,Visual,World,Head,15.5,0.002166620675955912,-0.8187134502923976,19,0.01083310337977956
Moving,Visual,World,Torso,0.0,0.00012374806330360956,-1.0,19,0.0007424883798216573
Moving,Visual,World,Arm,26.0,0.009074155707402116,-0.695906432748538,19,0.02722246712220635
Moving,Visual,Head,Torso,30.5,0.015405317499097572,-0.6432748538011696,19,0.030810634998195145
Moving,Visual,Head,Arm,73.0,0.37064814525298206,0.23157894736842105,19,0.37064814525298206
Moving,Visual,Torso,Arm,22.0,0.005430563179598152,0.7426900584795322,19,0.021722252718392607
Semi-Stationary,Controls,World,Head,31.0,0.00943683449603972,-0.6736842105263158,19,0.03774733798415888
Semi-Stationary,Controls,World,Torso,6.5,0.0008278880065413796,-0.9150326797385621,19,0.004967328039248277
Semi-Stationary,Controls,World,Arm,23.0,0.003616216562725835,-0.7578947368421053,19,0.018081082813629176
Semi-Stationary,Controls,Head,Torso,32.5,0.20168120717654026,-0.38095238095238093,19,0.6050436215296208
Semi-Stationary,Controls,Head,Arm,69.0,0.4701805102391965,-0.19298245614035087,19,0.940361020478393
Semi-Stationary,Controls,Torso,Arm,94.0,0.9675468500083045,0.010526315789473684,19,0.9675468500083045
Semi-Stationary,Key,World,Head,92.0,0.9033708344222277,-0.031578947368421054,19,1.0
Semi-Stationary,Key,World,Torso,81.0,0.5711359117891406,-0.14736842105263157,19,1.0
Semi-Stationary,Key,World,Arm,62.5,0.1875325800649752,0.34210526315789475,19,0.7501303202599008
Semi-Stationary,Key,Head,Torso,45.0,0.22599662007894716,-0.3382352941176471,19,0.7501303202599008
Semi-Stationary,Key,Head,Arm,40.5,0.08643166706295866,0.47058823529411764,19,0.4321583353147933
Semi-Stationary,Key,Torso,Arm,35.0,0.02655211216085041,0.5906432748538012,19,0.15931267296510246
Semi-Stationary,Visual,World,Head,31.0,0.009657993303054356,-0.6736842105263158,19,0.038631973212217424
Semi-Stationary,Visual,World,Torso,16.0,0.0012993249523945553,-0.8315789473684211,19,0.007795949714367332
Semi-Stationary,Visual,World,Arm,53.0,0.26053676302098505,-0.30718954248366015,19,0.5210735260419701
Semi-Stationary,Visual,Head,Torso,47.0,0.2729951636794251,-0.3088235294117647,19,0.5210735260419701
Semi-Stationary,Visual,Head,Arm,50.0,0.06800238935003991,0.47368421052631576,19,0.20400716805011973
Semi-Stationary,Visual,Torso,Arm,18.0,0.0016805669560411769,0.8105263157894737,19,0.008402834780205884
Stationary,Controls,World,Head,0.0,0.00017126671306186985,1.0,19,0.0010276002783712191
Stationary,Controls,World,Torso,0.0,0.00026479137838978056,1.0,19,0.0013239568919489028
Stationary,Controls,World,Arm,2.5,0.0002817708791910549,0.9707602339181286,19,0.0013239568919489028
Stationary,Controls,Head,Torso,64.5,0.5652739956130638,-0.1568627450980392,19,0.5652739956130638
Stationary,Controls,Head,Arm,51.0,0.22345385579904908,0.3333333333333333,19,0.44690771159809817
Stationary,Controls,Torso,Arm,35.0,0.04737338318340622,0.5424836601307189,19,0.14212014955021865
Stationary,Key,World,Head,0.0,0.000106567429187767,1.0,19,0.000639404575126602
Stationary,Key,World,Torso,0.0,0.0001772418833292024,1.0,19,0.0007089675333168096
Stationary,Key,World,Arm,0.0,0.00012081396728471073,1.0,19,0.000639404575126602
Stationary,Key,Head,Torso,64.5,0.855107769579526,0.051470588235294115,19,0.855107769579526
Stationary,Key,Head,Arm,23.0,0.018804653316137298,0.6617647058823529,19,0.037609306632274596
Stationary,Key,Torso,Arm,20.5,0.007362360746634083,0.7320261437908496,19,0.02208708223990225
Stationary,Visual,World,Head,0.0,0.00010692059846669173,1.0,19,0.0006415235908001504
Stationary,Visual,World,Torso,0.0,0.0002558269897712972,1.0,19,0.0010233079590851889
Stationary,Visual,World,Arm,0.0,0.00012081396728471073,1.0,19,0.0006415235908001504
Stationary,Visual,Head,Torso,58.5,0.6203248288657672,-0.13970588235294118,19,0.6203248288657672
Stationary,Visual,Head,Arm,31.0,0.052948171183583574,0.5441176470588235,19,0.10589634236716715
Stationary,Visual,Torso,Arm,20.0,0.006868612093068355,0.738562091503268,19,0.020605836279205064
