task,condition,planned_top,count,proportion
Controls,Moving,Arm,11,0.5789473684210527
Controls,Moving,Head,5,0.2631578947368421
Controls,Moving,Torso,3,0.15789473684210525
Controls,Semi-Stationary,Arm,11,0.5789473684210527
Controls,Semi-Stationary,Head,4,0.21052631578947367
Controls,Semi-Stationary,Torso,3,0.15789473684210525
Controls,Semi-Stationary,World,1,0.05263157894736842
Controls,Stationary,Arm,1,0.05263157894736842
Controls,Stationary,World,18,0.9473684210526315
Key,Moving,Arm,3,0.15789473684210525
Key,Moving,Head,8,0.42105263157894735
Key,Moving,Torso,7,0.3684210526315789
Key,Moving,World,1,0.05263157894736842
Key,Semi-Stationary,Arm,2,0.10526315789473684
Key,Semi-Stationary,Head,6,0.3157894736842105
Key,Semi-Stationary,Torso,3,0.15789473684210525
Key,Semi-Stationary,World,8,0.42105263157894735
Key,Stationary,World,19,1.0
Visual,Moving,Arm,4,0.21052631578947367
Visual,Moving,Head,6,0.3157894736842105
Visual,Moving,Torso,9,0.47368421052631576
Visual,Semi-Stationary,Arm,1,0.05263157894736842
Visual,Semi-Stationary,Head,8,0.42105263157894735
Visual,Semi-Stationary,Torso,9,0.47368421052631576
Visual,Semi-Stationary,World,1,0.05263157894736842
Visual,Stationary,World,19,1.0
