Participant ID,Trial condition (To be filled by the experimenter),Explain your decision in a few words:,Label - Key (Sina),Label - Key (Joao),Label - Key (Intersection),Explain your decision in a few words:1,Label - Visual (Sina),Label - Visual (Joao),Label - Visual (Intersection),Explain your decision in a few words:2,Label - Controls (Sina),Label - Controls (Joao),Label - Controls (Intersection)
1,Semi-Stationary,"World was easier to check, would not interfere with my view","2, 3","2, 3","2, 3","As it was visual, it was easier to check when anchored to head","8, 2",2,2,Arm was the most strategic place to easily click on the UI. It's nice to have the UI close to me so head and torso are after.,"2, 1","2, 6",2
1,Moving,I wanted the UI to be always with me while moving. I don't think arm is practical for this UI,7,"2, 3, 7",7,"Easier to see anytime when anchored to my head, then body.","1, 3",1,1,Body because then I can have in a place where I don't always see it.,"1, 3","1, 3","1, 3"
1,Stationary,"Did not need to move, so everything was accessible with world. Others are equally rated.","2, 4","2, 4","2, 4",Same as above,"2, 4","2, 4","2, 4",Same as above,"2, 4","2, 4","2, 4"
2,Moving,It was the main task so I could quickly see the key info and click on it.,"8, 1, 2","1, 2, 6","1, 2",Was able do distance it from the other task and would not obstruct my view when not uslng.,"2, 3, 8",3,3,Body was more easily accessible and would not obstruct my view.,"2, 3","2, 3","2, 3"
2,Semi-Stationary,More confortable and fast to see the instructions with head and body anchoring. Could not use the arm option because of the tracking issues.,"1, 3, 5","2, 3",3,I was able to continue my key task and do the visual task when needed.,"8, 2",,,Could not use the arm. Same reason as above for the others.,"1, 3, 5",,
2,Stationary,I'm stationary so I'd rather know where I need to look to see the UI I need.,"1, 4, 6","1, 4, 6","1, 4, 6",World same as above. Visual I want to know where it is without disturbing my FoV,"1, 4, 6","1, 4, 6","1, 4, 6",Same reason as above,"1, 4, 6","1, 4, 6","1, 4, 6"
3,Semi-Stationary,The UIs where following me so it was easier with body. I found that if the UIs were interfering it was harder than using the UIs in the world.,"1, 2, 3, 6, 8","1, 2","1, 2","As I was most of the time by the boxes, room was better and was easily accessible.","8, 2",2,2,"Easy to access because it was in my arm, would also not interfere with task, also because the UI was small.","2, 3, 8","2, 3","2, 3"
3,Stationary,I'm stationary so I can reach and see everything in my FoV,"4, 1, 2","1, 2, 4","1, 2, 4",Same as above.,"4, 1, 2","1, 2, 4","1, 2, 4",Same as above.,"4, 1, 2","1, 2, 4","1, 2, 4"
3,Moving,"It was hard to interact in torso so I did not quite like it. Head was always easy to reach and is stable to see the task (more intuitive than body). Arm was fine, but better for the controls, it would take too much space with keys task too (big UI).","2, 5, 3, 8, 1, 6","1, 2, 3, 5, 6","1, 2, 3, 5, 6","In torso I could be doing my key task, while always being able to look at the visual task. Interacting was hard but for this task that did not matter. Head could also be fine but would polute my view and would only need to look occasionally.","8, 1, 2, 3","1, 3","1, 3",Arm was easy to interact because the UI was very stable.,"2, 5","2, 5","2, 5"
4,Moving,It was easier on the body because when I moved it would come with me and it wouldn't always obstruct my view.,"7, 1, 2","1, 3, 7","1, 7",I don't need to be always using my hand and it's nice to be able to see it only when I need.,3,"1, 3",3,"It was small so it would not obstruct my FoV too much, therefore it was fine to have it head anchored. In the other places I'd have to think about it.","8, 1, 3, 6",3,3
